code,genus,species ,family
SR,Syzygium,rubicundum,Myrtaceae
Symp,Symplocos,racemosa,Symplocaceae
Climber1,Spatholobus,purpureus,Fabaceae
FLC,Ventilago,madraspatana,Rhamnaceae
Cinam,Cinnamomum,sp.,Lauraceae
Toona,Toona,ciliata,Meliaceae
Acacia,Acacia,sp.,Fabaceae
Beilsch,Beilschmedia,sp.,Lauraceae
Litsea,Litsea,floribunda,Fagaceae
Mallotus,Mallotus,philippensis,Euphorbiaceae
Dimo,Dimocarpus,longan,Sapindaceae
Psyflav,Psychotria,flavida,Rubiaceae
Rattan,Calamus,sp.,Arecaceae
Climber,Unidentified,sp~1,Unknown
Mac,Macaranga,peltata,Euphorbiaceae
Mel,Meliac,sp ~1,Meliaceae
Holi,Holigrana,nigra,Anacardiaceae
SP,Spondias,pinnata,Anacardiaceae
SN,Unidentified,sp~2,Unknown
UID20,Unidentified,sp~20,Unknown
Trich,Trichilia,connaroides,Sapindaceae
Crypto,Cryptocarya,sp.,Lauraceae
Humb,Humboldtia,brunonis,Fabaceae
Poly,Polyalthia,fragrans,Annonaceae
Here,Heritiera,papilio,Sterculiaceae
Olea,Olea,dioica,Oleaceae
